0 110
346.306 1.05588
386.067 COORD_F2, COORD_B3, COORD_E3, COORD_E4, COORD_G4, COORD_D5, COORD_E6, COORD_G6, COORD_H7, COORD_C8
395.207 COORD_H1, COORD_C2, COORD_D2, COORD_E3, COORD_B4, COORD_H4, COORD_B5, COORD_C5, COORD_D5, COORD_E7
400.406 COORD_B1, COORD_C1, COORD_E1, COORD_C3, COORD_B4, COORD_C4, COORD_B6, COORD_E6, COORD_H7, COORD_E8
367.145 1.05588
243.338 COORD_A1, COORD_G2, COORD_G3, COORD_F4, COORD_G4, COORD_G6, COORD_E7, COORD_A8, COORD_B8, COORD_F8
266.383 COORD_C1, COORD_D1, COORD_B2, COORD_G2, COORD_H2, COORD_C4, COORD_B7, COORD_A8, COORD_B8, COORD_G8
325.465 COORD_C1, COORD_A3, COORD_D3, COORD_E3, COORD_D4, COORD_D5, COORD_F5, COORD_G6, COORD_D7, COORD_G8
339.831 COORD_B1, COORD_C1, COORD_B2, COORD_H2, COORD_H4, COORD_F6, COORD_D7, COORD_F7, COORD_A8, COORD_D8
349.389 COORD_A1, COORD_E1, COORD_F1, COORD_A2, COORD_F3, COORD_D4, COORD_D5, COORD_A6, COORD_G7, COORD_D8
355.82 COORD_A1, COORD_G1, COORD_D3, COORD_B4, COORD_D4, COORD_H4, COORD_B5, COORD_G5, COORD_H5, COORD_A6
349.655 COORD_H1, COORD_C2, COORD_A3, COORD_F3, COORD_G3, COORD_H3, COORD_A6, COORD_B7, COORD_E7, COORD_A8
367.929 COORD_B2, COORD_E2, COORD_C3, COORD_E3, COORD_F3, COORD_G3, COORD_F5, COORD_D8, COORD_E8, COORD_G8
383.974 COORD_F1, COORD_D2, COORD_H3, COORD_B4, COORD_C4, COORD_F4, COORD_F5, COORD_G5, COORD_B7, COORD_F8
389.138 COORD_H1, COORD_G2, COORD_B3, COORD_G3, COORD_F4, COORD_H4, COORD_E5, COORD_F6, COORD_A7, COORD_D7
397.375 COORD_B1, COORD_G1, COORD_C2, COORD_F2, COORD_B3, COORD_F4, COORD_H4, COORD_B5, COORD_G5, COORD_E8
404.294 COORD_A3, COORD_B3, COORD_C3, COORD_H3, COORD_C4, COORD_E5, COORD_F5, COORD_G5, COORD_G7, COORD_G8
367.747 1.05588
245.944 COORD_A1, COORD_G2, COORD_D3, COORD_G3, COORD_F4, COORD_G4, COORD_G6, COORD_A8, COORD_B8, COORD_F8
266.422 COORD_C1, COORD_D1, COORD_B2, COORD_G2, COORD_H2, COORD_C4, COORD_B7, COORD_A8, COORD_B8, COORD_G8
328.692 COORD_C1, COORD_A3, COORD_D3, COORD_E3, COORD_D4, COORD_D5, COORD_F5, COORD_G6, COORD_D7, COORD_G8
342.647 COORD_B1, COORD_C1, COORD_B2, COORD_H2, COORD_H4, COORD_F6, COORD_D7, COORD_F7, COORD_A8, COORD_D8
350.79 COORD_A1, COORD_E1, COORD_F1, COORD_A2, COORD_F3, COORD_D4, COORD_D5, COORD_A6, COORD_G7, COORD_D8
357.845 COORD_A1, COORD_G1, COORD_D3, COORD_B4, COORD_D4, COORD_H4, COORD_B5, COORD_G5, COORD_H5, COORD_A6
349.047 COORD_H1, COORD_C2, COORD_A3, COORD_F3, COORD_G3, COORD_H3, COORD_A6, COORD_B7, COORD_E7, COORD_A8
366.703 COORD_B2, COORD_E2, COORD_C3, COORD_E3, COORD_F3, COORD_G3, COORD_F5, COORD_D8, COORD_E8, COORD_G8
382.671 COORD_F1, COORD_D2, COORD_H3, COORD_B4, COORD_C4, COORD_F4, COORD_F5, COORD_G5, COORD_B7, COORD_F8
387.544 COORD_H1, COORD_G2, COORD_B3, COORD_G3, COORD_F4, COORD_H4, COORD_E5, COORD_F6, COORD_A7, COORD_D7
397.16 COORD_B1, COORD_G1, COORD_C2, COORD_F2, COORD_B3, COORD_F4, COORD_H4, COORD_B5, COORD_G5, COORD_E8
403.957 COORD_A3, COORD_B3, COORD_C3, COORD_H3, COORD_C4, COORD_E5, COORD_F5, COORD_G5, COORD_G7, COORD_G8
369.563 1.03077
235.495 COORD_B1, COORD_H1, COORD_B2, COORD_A3, COORD_G3, COORD_F5, COORD_H5, COORD_B6, COORD_H6, COORD_H8
303.799 COORD_B1, COORD_F1, COORD_A2, COORD_B3, COORD_D3, COORD_F3, COORD_G3, COORD_E4, COORD_F4, COORD_C8
308.924 COORD_D1, COORD_D4, COORD_G4, COORD_C5, COORD_B6, COORD_C7, COORD_A8, COORD_B8, COORD_G8, COORD_H8
334.797 COORD_B1, COORD_A3, COORD_F3, COORD_A4, COORD_B5, COORD_G5, COORD_D7, COORD_G7, COORD_H7, COORD_B8
355.946 COORD_A1, COORD_D2, COORD_B3, COORD_F4, COORD_C5, COORD_E5, COORD_A6, COORD_B6, COORD_E7, COORD_F8
365.756 COORD_B1, COORD_A2, COORD_C2, COORD_C3, COORD_H3, COORD_E4, COORD_E5, COORD_H5, COORD_E6, COORD_C8
382.336 COORD_C1, COORD_E2, COORD_G2, COORD_D4, COORD_F4, COORD_H4, COORD_E6, COORD_G6, COORD_B7, COORD_C7
384.886 COORD_B1, COORD_C2, COORD_A3, COORD_G4, COORD_G5, COORD_H5, COORD_E7, COORD_F7, COORD_H7, COORD_A8
397.265 COORD_D2, COORD_C3, COORD_B4, COORD_C5, COORD_F5, COORD_G5, COORD_C6, COORD_B7, COORD_C8, COORD_D8
406.353 COORD_D3, COORD_D4, COORD_E4, COORD_H4, COORD_H5, COORD_C6, COORD_F6, COORD_A7, COORD_D8, COORD_E8
411.373 COORD_B2, COORD_D3, COORD_B4, COORD_A5, COORD_B6, COORD_D6, COORD_F7, COORD_H7, COORD_F8, COORD_G8
