0 166
413.533 1.09742
413.822 1.11308
256.562 COORD_A1, COORD_B1, COORD_C3, COORD_D3, COORD_A4, COORD_E4, COORD_G5, COORD_A7, COORD_C7, COORD_A8
302.292 COORD_B1, COORD_B4, COORD_D4, COORD_A5, COORD_F6, COORD_D7, COORD_B8, COORD_E8, COORD_G8, COORD_H8
346.492 COORD_B1, COORD_C2, COORD_A3, COORD_F3, COORD_G3, COORD_H3, COORD_A4, COORD_A5, COORD_B5, COORD_E6
353.137 COORD_A1, COORD_C1, COORD_B2, COORD_F2, COORD_C4, COORD_F4, COORD_G4, COORD_C5, COORD_E7, COORD_H8
355.353 COORD_F1, COORD_A2, COORD_A3, COORD_G4, COORD_H4, COORD_D5, COORD_B6, COORD_C7, COORD_H7, COORD_H8
372.285 COORD_A1, COORD_C1, COORD_F1, COORD_D2, COORD_G2, COORD_B3, COORD_C3, COORD_G3, COORD_E4, COORD_F5
388.31 COORD_B1, COORD_D1, COORD_E2, COORD_E3, COORD_B4, COORD_H4, COORD_G5, COORD_E6, COORD_B7, COORD_B8
395.212 COORD_C2, COORD_A3, COORD_B3, COORD_D6, COORD_G6, COORD_F7, COORD_G7, COORD_H7, COORD_F8, COORD_H8
408.126 COORD_E2, COORD_B3, COORD_F3, COORD_G3, COORD_A6, COORD_E6, COORD_F6, COORD_G6, COORD_G7, COORD_A8
418.202 COORD_C1, COORD_E2, COORD_H3, COORD_A4, COORD_G4, COORD_D5, COORD_D6, COORD_C7, COORD_D7, COORD_B8
430.29 COORD_C1, COORD_E2, COORD_H2, COORD_A4, COORD_H4, COORD_D5, COORD_G5, COORD_H5, COORD_B7, COORD_E7
435.109 COORD_B1, COORD_C1, COORD_B3, COORD_C3, COORD_H3, COORD_G4, COORD_D6, COORD_E8, COORD_F8, COORD_G8
415.008 1.1175
256.562 COORD_A1, COORD_B1, COORD_C3, COORD_D3, COORD_A4, COORD_E4, COORD_G5, COORD_A7, COORD_C7, COORD_A8
302.292 COORD_B1, COORD_B4, COORD_D4, COORD_A5, COORD_F6, COORD_D7, COORD_B8, COORD_E8, COORD_G8, COORD_H8
346.492 COORD_B1, COORD_C2, COORD_A3, COORD_F3, COORD_G3, COORD_H3, COORD_A4, COORD_A5, COORD_B5, COORD_E6
353.137 COORD_A1, COORD_C1, COORD_B2, COORD_F2, COORD_C4, COORD_F4, COORD_G4, COORD_C5, COORD_E7, COORD_H8
355.353 COORD_F1, COORD_A2, COORD_A3, COORD_G4, COORD_H4, COORD_D5, COORD_B6, COORD_C7, COORD_H7, COORD_H8
372.285 COORD_A1, COORD_C1, COORD_F1, COORD_D2, COORD_G2, COORD_B3, COORD_C3, COORD_G3, COORD_E4, COORD_F5
388.31 COORD_B1, COORD_D1, COORD_E2, COORD_E3, COORD_B4, COORD_H4, COORD_G5, COORD_E6, COORD_B7, COORD_B8
395.212 COORD_C2, COORD_A3, COORD_B3, COORD_D6, COORD_G6, COORD_F7, COORD_G7, COORD_H7, COORD_F8, COORD_H8
